word,frequency
home Stowe,1
Ravenclaw,1
hiking,1
“an,1
it’s,1
has,7
StudiesAffiliation,1
Graphic,1
Student,1
James,1
showing,4
calendars,1
know,2
world,1
lady,1
projects,1
looksHopefully,1
We,1
UBP,1
like,1
follows,1
piece,1
journalism,2
candy,1
communications,1
audience,1
either,1
fiancé,1
popular,1
become,2
nice,2
CampusJoin,1
Antoinette,1
Little,2
right,3
old,1
often,1
people,1
some,1
back,1
Mark,1
HCxo,1
born,1
home,1
provided,1
Cube,3
for,31
pet,1
resemblanceO’Shea,1
“Straight,1
Kayla,3
Facebook,1
NWA,1
He,2
Gray,3
School,1
CampusInspired,1
business,1
Straight,12
confidence,1
Single  Favorite,1
pasta,1
Dre,1
by,5
First,1
hearing,2
majoring,2
Madison,1
Multipurpose,1
of,28
industry,1
favorite,4
Hearing,1
deserves,1
magazine,1
Americans,1
stand,1
concession,1
or,5
seeing,1
into,4
son,1
down,2
services,1
you Straight,1
AF,1
portrayal,1
your,5
prepare,1
spending,1
Assistant,1
illustrious,1
long,1
way,11
Valdosta,1
November,4
was,3
Chill,1
event/wedding,1
mountains,1
head,2
Noli,1
offer,1
something,2
“perfectly,1
hear,2
Walker,1
line,1
highest,1
with,24
junior,3
handsome,1
directed,1
hair,1
now” Do,1
up,1
Society,1
 Nikki,1
officeIf,1
CampusName,1
electrifying,1
Design,1
flow,1
movie’s,1
am,4
Ice,3
an,7
twist,1
coordinator,1
as,2
at,18
Doors,1
campus,1
film,12
again,1
Reading,1
yoga,1
Harding,1
19Year,1
when,2
Compton Do,1
UConn's,1
other,1
Imax,1
ambitious,1
you,25
out,3
Man,1
gaining,1
compassion,1
Travers,1
Netflix,1
time,3
chance,1
U,1
weekend,1
dabble,1
FIJIHometown,1
Beyoncé,1
blogs,1
lot,1
As,1
Spanish,1
Editorial/Tech,1
she's,1
Empire,1
In,1
