word,frequency
told,1
where,3
Twitter,1
ThursdayI’m,1
decides,1
Shirt,1
fair,1
DechoesFlannel,1
culture,1
see,5
Toys,3
college,1
are,15
fail,1
Pi,1
 Here,1
best,5
definitely,1
Biology,1
said,1
Sears,2
ways,1
away,1
opening,2
Boomer,1
July,1
enjoys,1
reading,1
Features,1
DayAnd,1
perfect,3
we,5
SquaresThis,1
recently,2
Target,10
25,1
saidInfoScout,1
handful,1
Tree,1
coffee,1
wear,1
“That,1
franchise,1
one-stop,2
come,2
coupons,2
both,3
Neighborhood,1
brown,1
career,3
itI,1
hours,4
according,1
attributed,1
thinking,1
back 1,1
MMAMixed,1
Campus,4
Primark,1
 1,1
spoil,1
Her,12
reasons,1
address,2
community,1
InfoScout a,1
Finally,1
Pre-Law,1
learning,1
writing,3
Smart,1
sticks,1
there’s,2
better,1
Buy,1
addition,1
Whole,2
accepted!Happy,1
But,3
much,2
Kasha,1
Orlando,1
waste,1
Communications,1
pm,1
website,3
life,1
Georgia,2
shopping,6
options!,1
gas,2
priced,2
bulk,1
Freshman,1
Rachael,1
Thursday,1
friend—Target,1
prices,1
offerNot,1
general,1
seed,1
those,1
paying,1
myself,1
has,7
classes Hopefully,1
look,2
T,1
How,1
these,2
2011,1
harder,2
budget,1
value,1
excited,1
will,10
near,2
Pac,1
haven't,1
policies,1
Communication,1
fun,5
Follow,1
Market,1
Penney,1
favorite!,1
FallMuch,1
Oan,1
is,30
it,15
cant,1
DIY,1
in,34
ready,1
You,2
We’re,2
stickers,1
if,6
different,1
Walgreens,2
ArmyBlack,1
things,3
isI’m,1
same,2
check,1
member,1
big,2
no,1
President,1
struggling,1
Copy,1
couple,1
dime,1
I,12
social,1
drives,1
holidays,1
article!,1
running,1
Crossing,1
theme,1
assortment,1
Salvation,1
stack,1
lower,1
off,1
superstore,1
persuasive,1
well,2
Sweater-themed,1
know,5
obviously,1
patterns,1
without,3
greatest,1
In,1
the,77
musical,1
If,6
stores,9
notBut,1
just,3
being,3
money,4
Cal,1
rest,1
6am,1
not,10
grades,1
questions,1
advertised,1
Co-host,1
weekly,2
Lutheran,1
ads,2
decisions!It,1
readers,1
home”,1
Friday,4
seems,1
it’s,5
source,1
book,1
parents,2
location,2
save,3
Top,1
match,1
real,1
early-birds,1
HC,1
around,2
emergency,1
boasted,1
prefer,2
showing,1
25-34,1
test,1
againSure,1
Officer,1
“holiday”But,1
Buzz,1
using,1
bit,1
disappointed,1
San,1
WalmartNecklace,1
like,10
gift,2
subscribe,1
texting,1
journalism,1
semester,2
serves,1
millennials,3
Foods,2
retailers,1
lose,1
become,1
Savers!  A,1
page,2
brutalWho’s,1
who’ve,1
right,6
often,1
deal,2
people,5
some,5
back,9
dead,1
clubs,1
sure,2
Editor,3
Siena,1
home,5
matching,1
pocket!Another,1
pronounced,1
dressed!,1
competitor,1
for,37
communications,1
bedding,1
thanksgiving,1
blog!Do,1
Draped,1
e-mail,1
that Do,1
919,1
impress,1
be,20
othersDo,1
measures,1
eating,1
Look,1
time-crunched,1
barcode,1
Us,2
step,1
found,1
graduated,1
Escaping,1
post,1
sleepingmy,1
by,2
Macon,1
chapter,2
on,21
Taylor,1
hard,1
working,1
stations,1
of,35
e-mailed,2
Chief,1
 The,1
6-hour,1
out!,1
dinner,2
FridayBut,1
that’s,1
“We,1
classics,1
stop!,1
or,15
road,1
swimming,1
facetime,1
own,1
curling,1
No,1
coupon,1
Southern,1
into,2
relations!Do,1
retailer,1
AmazonJeans,1
Writing,1
everyone,1
Arkansas,2
been,1
detail,1
I’ve,3
sports,1
your,24
Store,1
Fabric,1
art,1
her,7
area,1
partyThis,1
there,2
print,1
long,1
winters,1
R,3
Ramsey,1
Every,1
low,2
way,13
biggest,1
soonLet,1
was,4
halls,1
happy,1
lowest,1
receipt,1
Editor-in-Chief,2
forward,1
younger”,1
but,12
searching,2
Ayanna,1
properly,1
Kohl’s,1
line,1
trying,2
with,26
junior,1
posted,1
begins,2
responding,1
Gold,1
wholesale,1
inside,1
up,11
us,5
mobile,1
convince,1
decorate,1
doors,1
Ave,1
pm ,1
skews,1
called,1
later 5,1
beganWalmart,1
constant,1
ad,2
obviouslyDo,1
describe,1
am,5
22-year-old,1
Hampshire,1
an,9
To,1
as,12
at,18
hobbies,1
watched,1
work,1
trip,1
again,5
yoga,1
Michaels’,2
did2012 Kmart,1
TV,1
Omicron,1
when,4
As,1
[millenials’],1
6pm—on,1
field,1
other,6
adventurous,1
Besides,1
digital,1
department,1
hometownYes,1
you,52
incredibly,1
smiler,1
distance,1
users,1
haha,1
why,1
endeavors,1
Campus!Whether,1
Communcations,1
and—your,1
ads!,1
brands,1
leaf,1
friends,3
Page,1
opened,4
building,1
shipping,1
Ad,1
calls,1
Americans’,1
together,1
having,2
loyal,1
Wine!,1
time,8
push,1
Campus!I’m,1
once,1
original,1
stick,1
