word,frequency
hope,1
personality,2
do,4
#college,1
his,2
hit,1
collegiettes!4,1
get,5
Whether,2
assistant,1
between,2
stop,1
Keep,1
While,2
words,10
supplies,4
Popular,1
planner! While,1
12-2,1
tips,1
gem,1
Find,1
fool-proof,1
bar,1
Instagram,1
Depot!By,1
bookstores,1
board,1
calling,1
jokes,1
Lanier,1
she,8
Bradshaw,1
goods ,1
through,1
grab,1
where,3
Me,1
Undercover,2
hibachi,1
Hots,1
habit,1
National,1
Create,1
Rent,1
around,4
hosting,1
needs!,1
decided,1
college,3
are,5
Campus! Laugh,1
stylish,1
contains,1
11th,1
burgersTiger,1
yes,1
best,1
Something$29/,1
Chestnut,1
oceanic,1
to-go,1
superhero,1
registering,1
narrated,1
ways,1
away,2
opening,1
freshmen,1
powerhouse,1
case,1
3,2
future,1
horrible,1
it,7
probably,1
enjoys,2
before,1
trust,2
meal,1
affordable,1
we,3
never,1
recently,1
pm Folks,1
Tavern,1
outdoors,1
however,1
Against,1
job,1
Lindsey,2
open Tuesday-Thursday,1
palette! Hannah,1
Each,1
news,1
hours,1
full-time,1
planner,3
well-curated,1
brown,1
restaurant,2
career,1
many,5
taking,1
cup,1
quiet,1
year-round,1
double-check,1
eggplant,1
desperately,1
it’s,6
Campus,6
glorious,1
Superman,1
among,1
money!,1
Her,17
Diego,1
color,2
robotics,1
Oneonta,2
walk,1
packaging,1
Wednesday,1
 2,1
customize,1
likes,1
laugh,1
“hidden,1
along,2
better,1
ensures,1
Buy,1
java,1
Get,1
addition,1
create,1
Southern,1
been,1
Most,1
secret,1
much,1
tailgate,1
peaceful,1
tutorials,1
time!The,1
meeting,1
pm,10
wants,1
Georgia,2
spare,1
Cavill,1
relaxing,1
specials!Hey,1
bone-in,1
blessing,1
Lake,1
pricey,1
lives,1
covered,1
Women's,1
general,1
weeks,1
And,5
save,4
process ,1
Health,1
these,2
advocating,1
to-die-for homemade,1
engineering,1
General,1
will,10
while,1
College,1
teachers,1
1100,1
Church,1
fun,5
Cold,1
Apart,1
Avenue,2
vegetarian,1
engineers,1
penthouse,1
seven,2
Slice,1
orientation,1
is,39
sushi,1
coffee,6
adventures,1
itself,1
Here’s,1
DIY,2
in,24
ready,1
You,2
We’re,1
lunchIt’s,1
if,3
cuisine,1
decor,1
Depot,10
highlighter,2
author,1
Fridgen,1
suggest,1
make,7
Programs,1
Hunter,1
same,2
Latte,3
Mobile,1
when,1
parts,1
unfortunate,1
9,3
fill,1
events,1
week,1
Then,1
I,6
Clear,1
foam,1
! Do,1
@Yellow_Deli,1
director,1
running,1
Expo,1
contractors,1
assortment,1
totally,1
camping,1
off,2
center,1
makes,1
variety,2
well,1
It,1
maker,1
thought,1
burgers,1
bag!,1
comes,1
In,4
coordinate,1
claims,1
the,61
800,1
Lizard's,1
stressed,1
chore,1
newest,1
just,3
golden,1
being,1
money,5
skin,1
rest,1
Sunday,4
Campus!,1
40,1
Depot’s,1
smoothies,1
21+,1
Sodexo,1
weekly,1
you won’t,1
Be,1
Works,1
Campus!Hozier,1
dining,4
thinking,1
Company,1
Friday,2
YouTube,1
hall,1
source,1
as specialty,1
pile,1
4,1
Although,1
281,1
News,2
typical pizza,1
has,3
excited,1
kick,1
build,1
swim,1
book,1
and buffalo,1
which,3
sticky,1
Restaurant,1
When,1
possible,2
Drake,1
Salam,1
Tour,1
Organize,1
five,1
know,5
desk,2
Carrie,1
crushes,1
unique,1
pies,1
Talk,1
San,4
stage,1
Lounge,4
Cisco,1
like,3
Show,2
cooler,1
follows,1
benefit,1
steps,1
journalist,1
night,7
popular,2
become,1
page,1
Alpha,1
Marching,1
calculus,1
because,2
old,1
people,1
spring,1
easy,3
some,5
girl's,1
competition,3
hacks,1
Located,1
Lounge’s,1
towards,1
Choose,1
sight,1
Between,1
home,3
classes,4
Mary,2
Naval,1
provided,1
slice,3
highlighting,1
for,42
noon,2
though,2
contributing,1
everything,2
fog,1
421,1
donations,1
epic,1
drink,1
Projects,1
be,12
eating,5
am Pay,1
business,1
schedule,1
rock,1
Nick,1
Seminars,1
binder,1
hectic,2
served,1
pasta,1
pizzas Wednesday,1
majoring,1
by,6
Pack,1
on,16
journlism,1
goods,1
working,1
Depot Spill,1
Communications,1
of,54
Image,1
&,2
favorite,3
#collegedepot,1
side,1
Well-known,1
undocumented,2
ensure,1
song Take,1
or,5
pastries,1
Campus!Sometimes,1
own,4
route,1
subs,2
inserts,1
communication,1
into,3
relations!Do,1
color-coded,1
Two,1
‘til,1
down,1
Their,1
right,2
promise,1
cent,2
primarily,1
parties,1
collegiettes!,1
pre-designed,1
next,1
your,27
Mountains,1
Victims,1
her,9
Sharpie,1
spending,1
up-to-date with,1
spots,1
class,1
start,2
cats,1
@jo_mi_hu Do,1
Street-,1
way,13
was,3
year!,2
happy,1
head,1
spicy,1
Editor-in-Chief,1
offer,1
Campus!Break,1
but,8
sophisticated,1
wireless,1
boys,3
Ayanna,1
food-themed,1
library,2
delivers,1
with,26
junior,4
buying,3
directed,1
also,5
made,1
Office,5
campus,5
